Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
ACP6,51205,0.15865178168696425,0.032233518425250865,91,0.05049786646009502
C1RL,51279,0.1169161700536093,0.010830177289309779,110,0.058609905243688365
COA4,51287,0.2048466868198308,5.013063590320894e-05,119,0.1316275910226482
ERGIC2,51290,0.2051298311727465,3.749708250899482e-07,119,0.1987666758262454
ECSIT,51295,0.27911776470588234,1.8042363599082306e-08,100,0.27748955360651206
PCYT1A,5130,0.22417052047074426,2.0129875842278985e-15,119,0.41789900824707116
RSRC1,51319,0.08230993757381475,0.009758163411011966,104,0.06367781564055142
THEM6,51337,0.31233178345339446,1.4187357943166913e-09,119,0.2698412051163377
PPME1,51400,0.1405788756810302,3.4471143354178536e-08,119,0.22990660154319442
NOL7,51406,0.08684348842386466,0.0381195674850783,119,0.03623355319881971
