Biomarker,Biomarker_HGNC,Endpoint,N_patients,N_amplified,N_not_amplified,Amp_frequency,Univariate_HR,Univariate_coef,Univariate_p,Univariate_CI_lower,Univariate_CI_upper,Adjusted_HR,Adjusted_coef,Adjusted_p,Adjusted_CI_lower,Adjusted_CI_upper,Univariate_FDR,Adjusted_FDR
26043,UBXN7,PFS,469,80,389,0.1705756929637526,0.8925275997389838,-0.1136978417291896,0.4399440154419466,0.6688149277897341,1.1910701798005816,0.9043370875538048,-0.1005531036319207,0.4955245414790473,0.6772472509211935,1.2075731083631414,0.9790247257982192,0.8908228531612116
9791,PTDSS1,PFS,469,30,439,0.0639658848614072,1.187458230864502,0.1718150822991987,0.4101341290857625,0.7889647373744746,1.7872244262021846,1.150662132859742,0.140337544388654,0.5042090796769072,0.7622378466882077,1.7370212588498248,0.9790247257982192,0.8908228531612116
51773,RSF1,PFS,469,41,428,0.0874200426439232,0.8925349311648078,-0.1136896275342277,0.5854514290538972,0.5932031964804517,1.342910166492368,0.8724478823102039,-0.1364523604315725,0.5139177435011593,0.5791649174165878,1.3142462266927335,0.9790247257982192,0.8908228531612116
28971,AAMDC,PFS,469,41,428,0.0874200426439232,0.8925349311648078,-0.1136896275342277,0.5854514290538972,0.5932031964804517,1.342910166492368,0.8724478823102039,-0.1364523604315725,0.5139177435011593,0.5791649174165878,1.3142462266927335,0.9790247257982192,0.8908228531612116
23126,POGZ,PFS,469,31,438,0.0660980810234541,1.1580059538848866,0.1466995206616675,0.4901467854004512,0.7634108041300481,1.756561188259537,1.1486359987324937,0.1385751503573227,0.5146609874518724,0.7571073354413366,1.7426388516168618,0.9790247257982192,0.8908228531612116
57530,CGN,PFS,469,31,438,0.0660980810234541,1.1580059538848866,0.1466995206616675,0.4901467854004512,0.7634108041300481,1.756561188259537,1.1486359987324937,0.1385751503573227,0.5146609874518724,0.7571073354413366,1.7426388516168618,0.9790247257982192,0.8908228531612116
10565,ARFGEF1,PFS,469,22,447,0.0469083155650319,1.1690692871751982,0.1562079511998865,0.5200660456692232,0.7263248925768996,1.8816964862203516,1.168909599408407,0.1560713479414436,0.5204113032753273,0.7262420494911153,1.881397052878634,0.9790247257982192,0.8908228531612116
56829,ZC3HAV1,PFS,469,39,430,0.0831556503198294,0.8502498642689688,-0.1622250147314592,0.4448200561157958,0.5608209452071202,1.2890474898764914,0.8729512668475936,-0.1358755473265707,0.5243150923985203,0.5745671902086082,1.3262920808515763,0.9790247257982192,0.8908228531612116
10526,IPO8,PFS,469,22,447,0.0469083155650319,1.1718982067776156,0.1586248330974581,0.5045970137019802,0.7354306580824603,1.867402986203227,1.1627038153543263,0.1507481681477161,0.525982801270326,0.729666110854323,1.8527380429614184,0.9790247257982192,0.8908228531612116
54477,PLEKHA5,PFS,469,23,446,0.0490405117270788,0.8484557046044154,-0.1643374000259834,0.5349866969336144,0.5048463013785914,1.425933161657312,0.846665330885799,-0.1664497853328472,0.529772417916955,0.5037672205050988,1.4229631332606802,0.9790247257982192,0.8908228531612116
25909,AHCTF1,PFS,469,28,441,0.0597014925373134,1.127343253794408,0.1198637617054626,0.580336455172021,0.7370909566355173,1.7242143597539878,1.1384822221554838,0.1296959912530411,0.5498605630326572,0.7442273475376645,1.741593848240698,0.9790247257982192,0.8908228531612116
5912,RAP2B,PFS,469,38,431,0.0810234541577825,1.0968058797666462,0.0924022100891679,0.6412834158517662,0.7435537060485496,1.6178833191265665,1.1227416589337005,0.1157736038186801,0.5609019908358013,0.7599949906162788,1.6586278176426144,0.9839539434061452,0.8908228531612116
57592,ZNF687,PFS,469,30,439,0.0639658848614072,1.1484139160623257,0.138381786974638,0.5233072123850686,0.7508399325751257,1.7565055684803328,1.1343275722409705,0.1260400280022963,0.5613410644381651,0.7413690722270194,1.735571511340421,0.9790247257982192,0.8908228531612116
84859,LRCH3,PFS,469,77,392,0.1641791044776119,0.9065629192924024,-0.0980948421585277,0.5080797979145063,0.6780083303401768,1.2121625795122806,0.9174048664185234,-0.0862063922565885,0.56149427962069,0.6857745127238217,1.2272717537802904,0.9790247257982192,0.8908228531612116
86,ACTL6A,PFS,469,99,370,0.2110874200426439,0.9123600637003504,-0.0917205601344786,0.507045073391923,0.6958068660657398,1.1963102499144675,0.9227665092234244,-0.0803790459035215,0.5617231277878824,0.7033737564164025,1.210591129931625,0.9790247257982192,0.8908228531612116
